Synonym,Standard Term,Term Id,Synonyms Type
elephant-apple,Limonia acidissima,NCBITaxon_159053,Exact Synonym
Indian wood-apple,Limonia acidissima,NCBITaxon_159053,Exact Synonym
wild rice,Zizania,NCBITaxon_15949,Exact Synonym
oriental river prawn,Macrobrachium nipponense,NCBITaxon_159736,Exact Synonym
common speedwell,Veronica officinalis,NCBITaxon_160511,Exact Synonym
coney,Cephalopholis fulva,NCBITaxon_160705,Exact Synonym
rooster hind,Hyporthodus acanthistius,NCBITaxon_160712,Exact Synonym
spotted grouper,Epinephelus analogus,NCBITaxon_160714,Exact Synonym
areolate grouper,Epinephelus areolatus,NCBITaxon_160715,Exact Synonym
blacktip grouper,Epinephelus fasciatus,NCBITaxon_160718,Exact Synonym
jewfish,Epinephelus itajara,NCBITaxon_160721,Exact Synonym
itajara,Epinephelus itajara,NCBITaxon_160721,Exact Synonym
Nassau grouper,Epinephelus striatus,NCBITaxon_160727,Exact Synonym
scamp,Mycteroperca phenax,NCBITaxon_160730,Exact Synonym
yellowfin grouper,Mycteroperca venenosa,NCBITaxon_160736,Exact Synonym
surf bream,Acanthopagrus australis,NCBITaxon_160963,Exact Synonym
beet,Beta vulgaris,NCBITaxon_161934,Exact Synonym
Malabar grouper,Epinephelus malabaricus,NCBITaxon_162300,Exact Synonym
ling,Molva molva,NCBITaxon_163112,Exact Synonym
tadpole fish,Raniceps raninus,NCBITaxon_163117,Exact Synonym
tommy ruff,Arripis georgianus,NCBITaxon_163129,Exact Synonym
sea herring,Arripis georgianus,NCBITaxon_163129,Exact Synonym
ruff,Arripis georgianus,NCBITaxon_163129,Exact Synonym
Australian herring,Arripis georgianus,NCBITaxon_163129,Exact Synonym
bull herring,Arripis georgianus,NCBITaxon_163129,Exact Synonym
Australian ruff,Arripis georgianus,NCBITaxon_163129,Exact Synonym
tommy rough,Arripis georgianus,NCBITaxon_163129,Exact Synonym
western herring,Arripis georgianus,NCBITaxon_163129,Exact Synonym
chiltepe,Capsicum annuum var. glabriusculum,NCBITaxon_165789,Exact Synonym
chilipiquin,Capsicum annuum var. glabriusculum,NCBITaxon_165789,Exact Synonym
American bird pepper,Capsicum annuum var. glabriusculum,NCBITaxon_165789,Exact Synonym
shortfin scad,Decapterus macrosoma,NCBITaxon_166264,Exact Synonym
Atlantic mudskipper,Periophthalmus barbarus,NCBITaxon_166755,Exact Synonym
walnut family,Juglandaceae,NCBITaxon_16714,Exact Synonym
walnuts,Juglans,NCBITaxon_16718,Exact Synonym
black walnut,Juglans nigra,NCBITaxon_16719,Exact Synonym
pepper family,Piperaceae,NCBITaxon_16739,Exact Synonym
lizard's-tail family,Saururaceae,NCBITaxon_16748,Exact Synonym
dokudami,Houttuynia cordata,NCBITaxon_16752,Exact Synonym
chameleon-plant,Houttuynia cordata,NCBITaxon_16752,Exact Synonym
Brazilian peppertree,Schinus terebinthifolia,NCBITaxon_169191,Exact Synonym
hingemouth,Phractolaemus ansorgii,NCBITaxon_169291,Exact Synonym
herring smelts,Argentinidae,NCBITaxon_170194,Exact Synonym
argentines,Argentinidae,NCBITaxon_170194,Exact Synonym
kitefin shark,Dalatias licha,NCBITaxon_170817,Exact Synonym
Pacific angelshark,Squatina californica,NCBITaxon_170825,Exact Synonym
cowslip,Primula veris,NCBITaxon_170927,Exact Synonym
Thai lime,Citrus hystrix,NCBITaxon_170989,Exact Synonym
Mauritius papeda,Citrus hystrix,NCBITaxon_170989,Exact Synonym
Makrut lime,Citrus hystrix,NCBITaxon_170989,Exact Synonym
surkh nimboo,Citrus limonia,NCBITaxon_171249,Exact Synonym
yi mu zi,Citrus limonia,NCBITaxon_171249,Exact Synonym
Rangpur lime,Citrus limonia,NCBITaxon_171249,Exact Synonym
hime lemon,Citrus limonia,NCBITaxon_171249,Exact Synonym
lemandarin,Citrus limonia,NCBITaxon_171249,Exact Synonym
Canton lemon,Citrus limonia,NCBITaxon_171249,Exact Synonym
mandarin lime,Citrus limonia,NCBITaxon_171249,Exact Synonym
sharbati,Citrus limonia,NCBITaxon_171249,Exact Synonym
li meng,Citrus limonia,NCBITaxon_171249,Exact Synonym
citron,Citrus medica,NCBITaxon_171251,Exact Synonym
Buddha's hand,Citrus medica,NCBITaxon_171251,Exact Synonym
large-tooth flounders,Paralichthyidae,NCBITaxon_171414,Exact Synonym
maranon,Anacardium occidentale,NCBITaxon_171929,Exact Synonym
cashew,Anacardium occidentale,NCBITaxon_171929,Exact Synonym
saguaro,Carnegiea gigantea,NCBITaxon_171969,Exact Synonym
meagre,Argyrosomus regius,NCBITaxon_172269,Exact Synonym
English sole,Parophrys vetulus,NCBITaxon_172659,Exact Synonym
winter skate,Leucoraja ocellata,NCBITaxon_173042,Exact Synonym
blue runner,Caranx crysos,NCBITaxon_173309,Exact Synonym
green jack,Caranx caballus,NCBITaxon_173313,Exact Synonym
bar jack,Carangoides ruber,NCBITaxon_173315,Exact Synonym
yellow jack,Carangoides bartholomaei,NCBITaxon_173318,Exact Synonym
round scad,Decapterus punctatus,NCBITaxon_173322,Exact Synonym
rainbow runner,Elagatis bipinnulata,NCBITaxon_173324,Exact Synonym
Decapterus sp. MVM-2010-1,Elagatis bipinnulata,NCBITaxon_173324,Exact Synonym
Decapterus sp. BIN12386,Elagatis bipinnulata,NCBITaxon_173324,Exact Synonym
palometa,Trachinotus goodei,NCBITaxon_173333,Exact Synonym
Florida pompano,Trachinotus carolinus,NCBITaxon_173342,Exact Synonym
leatherjack,Oligoplites saurus,NCBITaxon_173344,Exact Synonym
harpon,Monstera deliciosa,NCBITaxon_174217,Exact Synonym
cut-leaf-philodendron,Monstera deliciosa,NCBITaxon_174217,Exact Synonym
Swiss-cheese-plant,Monstera deliciosa,NCBITaxon_174217,Exact Synonym
Seneca snakeroot,Polygala senega,NCBITaxon_174549,Exact Synonym
coast gooseberry,Ribes divaricatum,NCBITaxon_175193,Exact Synonym
skunk currant,Ribes glandulosum,NCBITaxon_175226,Exact Synonym
