Term,Expansion,
carboy,[Container-Or-Receptacle-Or-Enclosure],
carpet bag,[Container-Or-Receptacle-Or-Enclosure],
carrier bag,[Container-Or-Receptacle-Or-Enclosure],
cash box,[Container-Or-Receptacle-Or-Enclosure],
cauldron,[Container-Or-Receptacle-Or-Enclosure],
cecum,[Container-Or-Receptacle-Or-Enclosure],
censer,[Container-Or-Receptacle-Or-Enclosure],
chafing dish,[Container-Or-Receptacle-Or-Enclosure],
chalice,[Container-Or-Receptacle-Or-Enclosure],
chamber pot,[Container-Or-Receptacle-Or-Enclosure],
change purse,[Container-Or-Receptacle-Or-Enclosure],
cistern,[Container-Or-Receptacle-Or-Enclosure],
clutch bag,[Container-Or-Receptacle-Or-Enclosure],
coal scuttle,[Container-Or-Receptacle-Or-Enclosure],
colander,[Container-Or-Receptacle-Or-Enclosure],
continental quilt,[Container-Or-Receptacle-Or-Enclosure],
